Ticker,Mean,Median,Std Dev,Min,Max,Count
BX,0.0012048602225993089,0.0019694640933207268,0.01876540848734752,-0.08343511683340286,0.15418870804754622,656
XYZ,0.0011806252168344998,0.0010004938833973178,0.025493746587595515,-0.10636226009560502,0.14148832924267643,656
BK,0.0010806619774765087,0.0012255989877649521,0.012419777976631035,-0.06895800141932129,0.10040213288710204,656
BA,0.0007603366001046589,0.0007482043202920558,0.01804264888319082,-0.07309320772379414,0.15822830576128333,656
BKNG,0.0014198358523024015,0.00180163004770068,0.015009973573251048,-0.05200770228245037,0.11878774739755449,656
BSX,0.00027538115603443976,0.0010922917049844658,0.011353647303658121,-0.05309834509071876,0.07260025863156638,656
BMY,-0.0004642709678821663,-0.00042118262710534544,0.013661413409076242,-0.05676300192771417,0.04960939214215592,656
AVGO,0.0011855081406710575,3.0165720798638106e-05,0.022642491828905584,-0.08965388363853026,0.15358251648899918,656
BR,0.0007747452423835486,0.0008191659787043245,0.011475110914210478,-0.04433498654164148,0.07896326132262918,656
BRO,0.00019582326539329282,0.0009232692234574873,0.011441744992112373,-0.06029902189902417,0.05016663869222007,656
BLDR,0.0007731906862800602,0.0007930858295631682,0.023420299261546748,-0.11523811184630102,0.12092423477602648,656
BG,-0.0003232416793008242,-0.0003988783776762622,0.0148819433848911,-0.05455900996535031,0.07916915844803656,656
BXP,0.000149212186953809,0.0,0.02036494048779947,-0.07605169603518377,0.10978600966813666,656
CHRW,6.87254228533722e-05,-0.0008351610662375732,0.014628001342537018,-0.05645166926043799,0.07265440213958625,656
CDNS,0.00036459802828539583,0.000960909813148694,0.018019003243527485,-0.10611085044675686,0.14716080362956793,656
CZR,-0.0013898935704990962,-0.0019024408665016868,0.025195720183427427,-0.06999999598452919,0.17921303184170997,656
CPT,-0.00018742112432360844,-0.0002699733988969996,0.013129658467706338,-0.061208850772399154,0.06390475318545384,656
CPB,-0.0005719543438612396,-0.0011230633294106597,0.013187603814199759,-0.052488017420884985,0.05313877536873487,656
COF,0.0009268826291996827,0.0006778064873383201,0.017869424594137644,-0.06499322559970401,0.17098486563439064,656
CAH,0.0007227289492588758,0.0008512462258429884,0.012122314454780942,-0.04416159718478137,0.05456750336723367,656
KMX,-1.501465162346523e-05,-0.0009393059229051324,0.020035669770776577,-0.0769314700610017,0.110094211170673,656
CCL,0.0013942897444495972,0.0007260057068545862,0.024894915876504307,-0.07764950596566833,0.16935003429132958,656
CARR,0.00027213837700927737,7.763326401650791e-05,0.016040988290643453,-0.07582099862672573,0.0991137538704101,656
CAT,0.0005585712904070694,0.0002267231030702147,0.014218477935917741,-0.055020909314087686,0.11172255469404425,656
CBOE,0.0008164798807603911,0.000814527555032387,0.01328149321109575,-0.052466976485063335,0.07019207202684574,656
CBRE,0.0009360714655148757,0.0015653600935431632,0.015003819700065544,-0.06844954932370467,0.09756538137133691,656
CDW,1.0651844040357072e-05,0.0008601912339595819,0.014331140633552624,-0.07527701091751932,0.09330226274030994,656
COR,0.0005146956478087781,0.00010279745027335486,0.010263868124277525,-0.05724256141637246,0.03775303079500088,656
CNC,-0.000689672107439647,-0.00023919269310095122,0.016449851170890494,-0.09534015422451159,0.05566501321363494,656
CNP,0.00036579452291672095,0.000588916465434993,0.011628224400645416,-0.06046510537404026,0.040661622555560495,656
CF,-2.590502157532166e-07,0.0013008130813041566,0.017316301092012314,-0.07335225624192684,0.06650679293609538,656
CRL,-0.000277441154399586,0.0004330974286711898,0.02226767947610045,-0.2665297291075137,0.14263419908250433,656
SCHW,0.00016269346212279448,-0.00014044700805253653,0.016950828019210624,-0.10600064744112025,0.10694316393152843,656
CHTR,-0.00012371140634461202,-0.00018579525879672227,0.018948651917184353,-0.0868577950266786,0.09391849779510283,656
CVX,-0.0006480234437576083,0.0,0.012190247217737902,-0.05753390184982715,0.08154343177636515,656
CMG,0.00041794371572176445,0.000550834107059547,0.015397309869358734,-0.06708884401576949,0.1095860264070124,656
CB,-5.145657209338842e-05,0.00010331850399831712,0.010967259633714794,-0.05564904271916742,0.06201490715368479,656
CHD,0.0003178831483175642,0.0005995053020525388,0.010333726726363133,-0.05005376031527545,0.044080603686880916,656
CI,-0.00027394671865955044,0.00081069903746106,0.01417384450617685,-0.08803164276978323,0.04106956087007035,656
CINF,-8.402701506772523e-05,0.00038710566867257765,0.013528569728372694,-0.07005153679958505,0.09488680009990995,656
CTAS,0.000530954343187174,0.001062634001220945,0.011357514827693418,-0.06960944900683991,0.0829794268006258,656
CSCO,0.0005582867204172143,0.0007691731476261998,0.010770028193526337,-0.03888286978000053,0.09513939455265849,656
C,0.001160742810638959,0.002111135860165281,0.014826779719093219,-0.06157304285170879,0.1301973823621861,656
CFG,0.0006175574401533614,0.0014320145643982015,0.019423571909129172,-0.08303794377966771,0.11551059989549615,656
CLX,-0.00034174454038376324,-3.0387677170641483e-05,0.011591646701211036,-0.041086253454286854,0.03886658533580115,656
CME,0.0005880211801031535,0.0008729042951080258,0.010686005072488264,-0.05563186050868144,0.051087847562718225,656
CMS,8.331286938578423e-05,0.00034363998463304244,0.010925572739833024,-0.04831101001180765,0.03857452971363106,656
KO,8.271425088747995e-05,0.00015907990186847382,0.008197335079445258,-0.043112907160905725,0.03231163039680572,656
CTSH,0.0003714071271764342,0.0003321426236725199,0.012768505512865388,-0.046975642202506614,0.10472864021139372,656
COIN,0.0024026083460717226,0.000402900692439279,0.046755588327267714,-0.12936190789898008,0.25366141667176934,656
CL,0.00019526172386916888,0.0002749641566975105,0.009726220316346977,-0.054564140821550894,0.042007773370486605,656
CMCSA,9.448174139305516e-05,0.0,0.013940099095886555,-0.09627400915421423,0.08246154785156252,656
CAG,-0.0006233989559170464,-0.0006988990322020427,0.012153083095032227,-0.04581904308779849,0.04771064955899437,656
COP,-0.0007260027701711462,-0.00012804703662472455,0.015240779485164134,-0.07137847364994514,0.1282209523809524,656
ED,0.00018910539703933477,0.00026945393629309916,0.010685669175161392,-0.04105263425592796,0.04122139839496907,656
STZ,-0.0004299334168947071,-0.00013526555096999898,0.01371834144880882,-0.10486929736473177,0.08862107537010283,656
CEG,0.0005591526494408356,-0.00017110646599603502,0.025357402912734438,-0.09642175094194964,0.1575242642038803,656
COO,-0.0003129235157202155,-0.00031058276119863733,0.013829730993058297,-0.06342325285529857,0.10810808170983514,656
